"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case verifies that the admin cannot create
a new product when the description field is left
blank.","2070","Admin Cannot Create Product With Blank Description","Tests","2026-08-24","passed","2026-08-24","Admin","Admin","",""
"A user who enters otherwise valid credentials, but
with leading and trailing whitespace around the email
and password, must not be logged in. The app does not
trim these fields, so the padded values must be
treated as invalid credentials, same as any other
mismatch.
CROSS-BROWSER NOTE: this test is known to fail on
Firefox — Firefox silently trims leading/trailing
whitespace from `type=""email""` inputs (Chromium and
WebKit do not), so the email arrives clean while the
password stays padded; the resulting mismatched
login then never even fires its network request on
Firefox. Tracked for a future fix (e.g. pad only the
password) rather than addressed now.","1218","Login With Padded Email And Password Should Fail","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"A logged in user who clicks the logout button must be
signed out and redirected back to the login page.","2046","User Can Logout And Be Redirected To The Login Page","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"This test case verifies that an admin can create a new user.","5470","Admin Wants To Create a New User","Tests","2026-08-24","passed","2026-08-24","Admin","Admin","",""
"This test case verifies that an admin can edit an
existing user by clicking the ""Editar"" button on the
users table.
KNOWN ISSUE: as of this writing, the ""Editar"" button
on the ServeRest front-end's user list has no wired
behavior — clicking it produces no visible change on
the page (no input field appears, no navigation, no
modal), so there is currently no way to edit an
existing user through the UI, even though the button
is present. This test documents the expected,
correct behavior, so it currently fails until that
defect is fixed.","12938","Admin Should Be Able To Edit An Existing User","Tests","2026-08-24","skipped","2026-08-24","Admin","Admin","",""
"A user who enters an invalid email and/or password and clicks
""Entrar"" must see a message informing that the
credentials are invalid.","1317","User With Invalid Email Should See Error Message","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"A logged in user who reloads the page (F5) must
remain authenticated and see the home page — the
session is not lost on reload.","2085","Session Should Persist After Page Reload","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"This test case verifies that a user can increase the quantity of an item in the list.","3175","User Can Increase Quantity of an Item in the List","Tests","2026-08-24","passed","2026-08-24","Store","Store","",""
"This test case verifies that the admin cannot create
a new product with a negative quantity.","2094","Admin Cannot Create Product With Negative Quantity","Tests","2026-08-24","passed","2026-08-24","Admin","Admin","",""
"This test case verifies that the admin cannot submit
the new user form with an invalid email format. The
browser's own email input validation blocks the form
from being submitted at all, same as on the login
screen.","2032","Admin Cannot Create User With Invalid Email Format","Tests","2026-08-24","passed","2026-08-24","Admin","Admin","",""
"This test case verifies that the ""decrease quantity""
button becomes disabled once an item's quantity in
the shopping list is already at the minimum (1),
giving the user clear visual feedback that no
further decrease is possible.
KNOWN ISSUE: as of this writing, the button never
gets a ""disabled"" state — it remains clickable even
when the quantity is already at 1. The underlying
logic is correct (the quantity never drops to 0 or
below, and the item is never removed from the
list), but the UI gives no indication that clicking
the button again has no effect. This test documents
the expected, correct behavior, so it currently
fails until that defect is fixed.","2988","Decrease Button Should Be Disabled When Quantity Is At The Minimum","Tests","2026-08-24","skipped","2026-08-24","Store","Store","",""
"This test case verifies that the admin cannot submit
the new product form with an excessively precise
decimal price (e.g. more decimal places than a
cent). The price field has no explicit ""step""
attribute, so the browser defaults to whole numbers
only — any fractional value is blocked by the
browser's own field validation before the form can
be submitted.","2060","Admin Cannot Create Product With Decimal Price","Tests","2026-08-24","passed","2026-08-24","Admin","Admin","",""
"A user who enters a valid email and password and clicks
""Entrar"" must be redirected to the home page.","4029","User With Valid Credentials Should Be Redirected To The Home","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"A user who logs out and then tries to reach the home
page directly by URL must be redirected back to the
login page instead of seeing the home page.","2008","After Logout Direct Navigation To Home Should Redirect To The Login Page","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"A user who enters a valid email but a password
containing script tags, emoji and unicode characters
must not be authenticated, must see the normal
invalid-credentials message (proving the payload
reached the app/API and was rejected as a wrong
password, not executed as script), and the app must
not crash or throw any console errors.","1173","Login With XSS And Unicode Payload In Password Should Fail Safely","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"This test case verifies that an admin user can access the admin page.","3049","Admin Can Access Admin Page","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"A user who enters an invalid email and/or password and clicks
""Entrar"" must see a message informing that the
credentials are invalid.","1484","User With Blank Password Should See Error Message","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"This test case verifies that once a product has been
added to the shopping list, its card is removed from
the catalog grid on the home page. This is the app's
way of preventing the same item from being added
twice — there is no way to duplicate a line or
double-add an item through the UI, since the card is
simply no longer there to click again.","2821","Product Card Disappears From Catalog After Being Added To The List","Tests","2026-08-24","passed","2026-08-24","Store","Store","",""
"A user who enters a valid email and password and clicks
""Entrar"" must be redirected to the home page.","1311","User With Invalid Email Format Should See Error Message","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
"This test case verifies that an admin can see the list of products.","2099","Admin Wants To List All Products","Tests","2026-08-24","passed","2026-08-24","Admin","Admin","",""
"This test case verifies that double-clicking the
""Cadastrar"" button on the new user registration form
does not create two users with the same data.","2970","Double Click On Submit Should Not Create Duplicated User","Tests","2026-08-24","passed","2026-08-24","Admin","Admin","",""
"This test case verifies that an admin can delete an
existing user from the users list, and that the user
is actually removed (not just hidden in the UI).","3593","Admin Can Delete A User From The Users List","Tests","2026-08-24","passed","2026-08-24","Admin","Admin","",""
"A user who logs out and then navigates back using the
browser's back button must not have their session
restored — they must still see the login page, not
the home page.","1938","After Logout Browser Back Should Not Restore The Session","Tests","2026-08-24","passed","2026-08-24","Login","Login","",""
